codauto;ccaa;cpro;provincia;sexo;grupo_edad;ola;num_def;num_casos;num_hosp;num_uci;poblacion_total;lat_prov;long_prov;long_ccaa;lat_ccaa
16;País Vasco;01;Araba/Álava;Mujeres;40-49;primera_etapa;2;293;37;0;27233;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;40-49;segunda_etapa;0;1238;25;2;27233;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;40-49;tercera_etapa;0;633;13;0;27233;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;50-59;primera_etapa;8;369;62;4;25326;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;50-59;segunda_etapa;1;1022;43;5;25326;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;50-59;tercera_etapa;1;507;7;1;25326;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;60-69;primera_etapa;6;243;76;2;20879;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;60-69;segunda_etapa;4;609;46;3;20879;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;60-69;tercera_etapa;2;301;21;1;20879;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;70-79;primera_etapa;23;175;95;4;16241;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;70-79;segunda_etapa;15;378;70;8;16241;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;70-79;tercera_etapa;10;215;44;6;16241;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;80+;primera_etapa;130;484;141;1;13182;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;80+;segunda_etapa;75;522;148;1;13182;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;80+;tercera_etapa;38;228;60;1;13182;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;NC;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;NC;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;Mujeres;NC;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;0-9;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;0-9;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;0-9;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;10-19;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
